file,comp,C_succ_nodes,C_succ_edges,P_succ_nodes,P_succ_edges,Z_succ_nodes,Z_succ_edges,C_ind_nodes,C_ind_edges,P_ind_nodes,P_ind_edges,Z_ind_nodes,Z_ind_edges,C_bet_nodes,C_bet_edges,P_bet_nodes,P_bet_edges,Z_bet_nodes,Z_bet_edges
grafo579.35.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo11267.92.gml,0,285248,1034494,137918,887164,114400,863646,793754,2705070,502177,2413493,455126,2366442,308607,1138978,141688,972059,116431,946802
grafo7322.58.gml,0,51846,176614,27610,152378,23694,148462,212080,700044,142995,630959,131513,619477,59109,210613,28782,180286,24433,175937
grafo2897.29.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4358.55.gml,0,153667,535358,79473,461164,66949,448640,640840,2120511,430447,1910118,396366,1876037,181363,659239,84696,562572,70947,548823
grafo6398.41.gml,0,12263,39382,6970,34089,5963,33082,52241,170788,35525,154072,32596,151143,13647,46209,6995,39557,6191,38753
grafo1151.11.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo944.14.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9353.75.gml,0,287828,1026766,141652,880590,119090,858028,1040304,3468042,691312,3119050,631852,3059590,316596,1176476,144772,1004652,121092,980972
grafo8513.100.gml,0,254326,912564,124504,782742,102384,760622,779601,2629081,502852,2352332,455041,2304521,278199,1026942,128179,876922,105488,854231
grafo3174.39.gml,0,2914,8844,1826,7756,1634,7564,13807,44827,9548,40568,8875,39895,3137,10280,1731,8874,1593,8736
grafo7824.85.gml,0,291476,1042928,144848,896300,121040,872492,1045727,3497285,688788,3140346,628432,3079990,335499,1234584,152910,1051995,126692,1025777
grafo3159.38.gml,0,8014,25333,4643,21962,4101,21420,36615,119158,25074,107617,23216,105759,9002,30134,4774,25906,4158,25290
grafo6714.72.gml,0,64493,222428,33021,190956,28143,186078,224969,749658,149250,673939,136278,660967,68764,251035,33789,216060,28668,210939
grafo2990.35.gml,0,13892,44024,8062,38194,6962,37094,66561,216775,45806,196020,42296,192510,15593,53906,8099,46412,7107,45420
grafo8064.77.gml,0,128484,453062,64910,389488,54266,378844,417248,1398734,271644,1253130,247180,1228666,138631,509453,65611,436433,55863,426685
grafo6482.87.gml,0,121551,432750,60963,372162,50799,361998,346074,1171113,220791,1045830,199692,1024731,125907,466629,61536,402258,51210,391932
grafo11286.92.gml,0,66260,226224,34884,194848,29466,189430,259791,859073,174174,773456,159851,759133,75082,267847,36109,228874,30564,223329
grafo10008.42.gml,0,24403,80457,13727,69781,11780,67834,108781,356325,73875,321419,68254,315798,27435,96831,14201,83597,12202,81598
grafo5019.63.gml,0,34861,117131,18840,101110,16302,98572,137659,454189,92537,409067,84995,401525,39059,137036,19321,117298,16652,114629
grafo2182.38.gml,0,21028,68182,11704,58858,10218,57372,94968,310582,65000,280614,59814,275428,23392,82262,12036,70906,10654,69524
grafo8770.86.gml,0,31208,105268,16872,90932,14532,88592,109838,363782,72652,326596,66386,320330,32674,116712,16526,100564,14572,98610
grafo4625.66.gml,0,38242,130938,19958,112654,16839,109535,126388,422004,83487,379103,75930,371546,40398,144121,20117,123840,16909,120632
grafo10877.97.gml,0,120514,426656,59806,365948,50278,356420,373302,1253574,241563,1121835,218851,1099123,127845,471090,60111,403356,51239,394484
grafo6238.57.gml,0,106792,368724,55148,317080,46664,308596,428958,1416160,289014,1276216,265216,1252418,118955,433288,56630,370963,47959,362292
grafo1875.17.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3022.36.gml,0,4100,12871,2427,11198,2132,10903,17486,56995,11997,51506,11010,50519,4076,14093,2397,12414,2098,12115
grafo3167.44.gml,0,27306,90176,15059,77929,12820,75690,119381,391467,81249,353335,74909,346995,30981,108486,15523,93028,13178,90683
grafo3075.72.gml,0,38906,131046,21076,113216,17902,110042,154749,511443,103977,460671,95976,452670,43555,153846,21516,131807,18381,128672
grafo5189.72.gml,0,44484,152584,23618,131718,20047,128147,162507,539299,108272,485064,98580,475372,48232,173103,24277,149148,20615,145486
grafo1916.20.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo11370.33.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3180.57.gml,0,64386,219860,34110,189584,29120,184594,259531,858443,174348,773260,160505,759417,73596,262635,35683,224722,30304,219343
grafo3834.55.gml,0,69030,239000,35892,205862,29898,199868,233615,778795,153324,698504,139632,684812,74425,268654,35873,230102,30352,224581
grafo7804.77.gml,0,31766,108472,16962,93668,14718,91424,108966,362564,71852,325450,65702,319300,33560,119696,17058,103194,14730,100866
grafo7350.45.gml,0,30044,98744,17064,85764,14282,82982,148837,484799,102466,438428,94879,430841,35039,122670,17301,104932,15000,102631
grafo862.25.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo5910.40.gml,0,39948,134450,21650,116152,18428,112930,165911,547175,112092,493356,103590,484854,45472,160375,22295,137198,19112,134015
grafo9916.31.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo7272.48.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4254.77.gml,0,165635,588502,82584,505451,69063,491930,500358,1689733,322690,1512065,293520,1482895,176227,651593,82953,558319,68689,544055
grafo8800.93.gml,0,217168,766652,108828,658312,90456,639940,826392,2746018,551009,2470635,504158,2423784,246748,909919,113400,776571,94492,757663
grafo3569.56.gml,0,48430,164772,26010,142352,22219,138561,210157,691951,142980,624774,131320,613114,56810,201113,27181,171484,23161,167464
grafo1206.29.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2108.26.gml,0,9935,31759,5787,27611,4832,26656,50555,163209,35503,148157,33010,145664,10149,35471,5241,30563,4668,29990
grafo7386.46.gml,0,51190,171894,27308,148012,23482,144186,212050,698108,143431,629489,131687,617745,59048,207119,28464,176535,24321,172392
grafo6846.51.gml,0,38658,128206,21178,110726,18216,107764,174082,570758,118605,515281,109260,505936,44795,157667,21855,134727,19071,131943
grafo947.15.gml,0,5454,16612,3342,14500,2972,14130,32246,104124,22628,94506,20996,92874,6994,22474,3514,18994,3128,18608
grafo5338.46.gml,0,26880,90126,14373,77619,12552,75798,98031,324081,65304,291354,59910,285960,28824,101385,14445,87006,12411,84972
grafo4401.57.gml,0,92958,317330,49458,273830,42214,266586,410906,1354242,278420,1221756,256924,1200260,112020,397980,52310,338270,44536,330496
grafo10314.96.gml,0,116080,404520,59530,347970,49262,337702,425580,1416142,281894,1272456,258516,1249078,128940,470808,61742,403610,51218,393086
grafo2591.15.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1822.11.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo5818.77.gml,0,217056,774278,107282,664504,88262,645484,709739,2383099,461824,2135184,420512,2093872,237866,882299,109775,754208,91176,735609
grafo8715.93.gml,0,103664,368376,52114,316826,43244,307956,319478,1076232,206876,963630,188066,944820,111200,407506,53636,349942,43844,340150
grafo9982.38.gml,0,6086,19040,3612,16566,3178,16132,24392,79480,16487,71575,15208,70296,6165,20980,3350,18165,2952,17767
grafo6022.61.gml,0,84704,287782,44496,247574,37520,240598,377836,1241870,256822,1120856,236512,1100546,100654,358704,46952,305002,39714,297764
grafo9548.65.gml,0,24084,80956,12762,69634,10646,67518,79346,263252,52477,236383,47647,231553,24149,86830,12763,75444,10629,73310
grafo9590.74.gml,0,97159,339223,49666,291730,41418,283482,338113,1128863,223215,1013965,203863,994613,107910,389762,50918,332770,42915,324767
grafo8501.94.gml,0,33694,115268,17738,99312,14906,96480,103256,344878,66368,307990,61124,302746,33158,121608,17684,106134,14814,103264
grafo10018.31.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2733.14.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1352.29.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10672.98.gml,0,212910,767526,104650,659266,86968,641584,622053,2108599,397470,1884016,360163,1846709,230765,850022,107223,726480,88521,707778
grafo5900.46.gml,0,18516,60985,10422,52891,9089,51558,80930,265429,55348,239847,50839,235338,20908,72683,10614,62389,9305,61080
grafo1540.34.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo7286.43.gml,0,5826,17872,3504,15550,3104,15150,30024,97136,20939,88051,19344,86456,6767,22286,3542,19061,3148,18667
grafo7492.38.gml,0,31823,103950,17837,89964,15274,87401,154365,504612,106160,456407,98175,448422,36834,130420,18570,112156,15897,109483
grafo1383.51.gml,0,72590,248044,38119,213573,32367,207821,288184,953818,193878,859512,177648,843282,81531,294492,39616,252577,33600,246561
grafo2758.17.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9900.39.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo7011.64.gml,0,19215,64836,10459,56080,8988,54609,67562,224111,44857,201406,41208,197757,19895,70737,10473,61315,9074,59916
grafo4910.60.gml,0,32054,107746,17132,92824,15232,90924,131638,433898,89120,391380,81805,384065,35679,126633,17756,108710,15257,106211
grafo2428.19.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9856.37.gml,0,8588,27068,5152,23632,4632,23112,42848,139376,29586,126114,27362,123890,9806,33312,5258,28764,4686,28192
grafo6641.40.gml,0,17360,56414,9570,48624,8565,47619,71716,235808,48894,212986,44955,209047,18476,65090,9742,56356,8663,55277
grafo5003.58.gml,0,2003,5985,1196,5178,1156,5138,8349,27025,5678,24354,5206,23882,1835,6259,1150,5574,1094,5518
grafo4981.65.gml,0,17510,57108,9876,49474,8737,48335,76018,249450,51846,225278,47711,221143,20212,68528,10108,58424,8667,56983
grafo1365.66.gml,0,47762,160704,26042,138984,21984,134926,220008,721240,150254,651486,138758,639990,56244,198726,27236,169718,23034,165516
grafo8101.82.gml,0,134006,476728,66230,408952,54566,397288,380228,1285766,240720,1146258,219372,1124910,139610,515620,67042,443052,55156,431166
grafo2272.20.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo8545.74.gml,0,149586,527176,75244,452834,62276,439866,502424,1680438,327414,1505428,300058,1478072,162590,598444,77198,513052,63874,499728
grafo589.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo8858.92.gml,0,225474,810042,110058,694626,90606,675174,659799,2231149,419860,1991210,381963,1953313,241113,894706,112339,765932,92765,746358
grafo9375.65.gml,0,7706,24838,4468,21600,3959,21091,31195,102279,21079,92163,19412,90496,8100,27749,4487,24136,3952,23601
grafo8754.91.gml,0,20094,67558,11051,58515,9112,56576,67279,223243,44181,200145,40502,196466,20210,72455,10591,62836,9096,61341
grafo3264.54.gml,0,22246,73394,12254,63402,10570,61718,95972,315090,65297,284415,60299,279417,25271,87812,12619,75160,11089,73630
grafo4108.41.gml,0,11408,36213,6740,31545,5777,30582,53110,173447,36681,157018,33792,154129,13084,44068,6817,37801,5939,36923
grafo10262.100.gml,0,228839,816657,113776,701594,94676,682494,828343,2763067,547339,2482063,500462,2435186,253864,948726,118527,813389,97869,792731
grafo9644.73.gml,0,23908,80496,12610,69198,10524,67112,77016,255896,50902,229782,46120,225000,23412,85180,12558,74326,10456,72224
grafo3776.53.gml,0,69156,238910,36266,206020,30854,200608,275510,911616,185404,821510,169988,806094,78128,281656,37734,241262,31834,235362
grafo6863.40.gml,0,50313,171355,26352,147394,22413,143455,197698,653552,132716,588570,121791,577645,56846,202083,27255,172492,22992,168229
grafo10032.38.gml,0,4168,13139,2497,11468,2206,11177,18561,60604,12795,54838,11807,53850,4512,15008,2544,13040,2229,12725
grafo8110.80.gml,0,96673,341058,49338,293723,41014,285399,310628,1041989,201784,933145,183950,915311,103653,379739,50372,326458,42134,318220
grafo4511.77.gml,0,99858,349830,51564,301536,42700,292672,330098,1106918,216598,993418,197554,974374,109012,394394,52498,337880,43370,328752
grafo10800.37.gml,0,5950,18692,3546,16288,3114,15856,23054,75252,15498,67696,14332,66530,5702,19976,3302,17576,2916,17190
grafo4484.76.gml,0,83423,294353,41788,252718,35290,246220,243443,820793,156669,734019,141222,718572,86449,317318,42052,272921,35551,266420
grafo6980.59.gml,0,55894,193188,29154,166448,24882,162176,191222,638276,125880,572934,115258,562312,59730,216476,29932,186678,25312,182058
grafo4279.57.gml,0,21760,71994,12136,62370,10402,60636,90636,298346,61600,269310,56598,264308,24424,84840,12476,72892,10672,71088
grafo9527.88.gml,0,128816,458810,65122,395116,54386,384380,403657,1359461,261270,1217074,238072,1193876,139919,512216,66586,438883,55546,427843
grafo1837.20.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo8378.99.gml,0,203546,726285,100162,622901,83236,605975,665265,2231598,434685,2001018,395826,1962159,219544,816523,102432,699411,85376,682355
grafo767.22.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10188.38.gml,0,9058,28672,5284,24898,4760,24374,43821,142985,30244,129408,28020,127184,10599,35336,5496,30233,4821,29558
